age,policy_number,insured_sex,insured_education_level,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
31,689500,FEMALE,High School,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Northbend,3102 Apache St,14,3,?,1,52700,10540,10540,31620,BMW,X6,2014
34,806081,MALE,High School,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,NY,Columbus,7756 Pine Hwy,13,1,YES,2,101010,15540,15540,69930,Mercedes,ML350,1998
37,384618,MALE,High School,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Columbus,7142 5th Lane,16,4,?,1,53400,5340,5340,42720,Honda,Civic,2010
31,756459,FEMALE,Associate,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,SC,Northbrook,2914 Oak Drive,13,1,?,1,72120,12020,12020,48080,Mercedes,ML350,2009
43,655787,MALE,College,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,PA,Hillsdale,6522 Apache Drive,15,3,YES,2,77100,7710,15420,53970,Audi,A3,2010
39,419954,FEMALE,College,2015-02-25,Parked Car,?,Trivial Damage,SC,Northbend,5279 Pine Ridge,3,1,?,2,3300,600,0,2700,Dodge,RAM,2003
35,275092,FEMALE,MD,2015-02-26,Parked Car,?,Minor Damage,WV,Northbend,8078 Britain Hwy,7,1,YES,1,5940,1080,540,4320,Nissan,Pathfinder,2003
27,515698,MALE,High School,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Northbend,1133 Apache St,16,2,NO,1,63720,7080,21240,35400,Accura,TL,2006
43,132871,FEMALE,Masters,2015-02-03,Vehicle Theft,?,Trivial Damage,SC,Riverwood,2873 Flute Ave,15,1,NO,1,7680,1280,640,5760,Audi,A5,2008
31,714929,MALE,Associate,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,NY,Riverwood,8509 Apache St,21,3,YES,1,93730,14420,21630,57680,Honda,CRV,2001
44,297816,MALE,College,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Arlington,8245 4th Hwy,23,3,YES,0,87300,17460,17460,52380,Jeep,Wrangler,2013
40,426708,MALE,JD,2015-01-24,Parked Car,?,Trivial Damage,NY,Columbus,3094 Best Lane,5,1,?,0,5670,1260,630,3780,Ford,F150,1997
47,615047,MALE,High School,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Springfield,8188 Tree Ave,15,3,YES,0,65800,13160,6580,46060,Accura,TL,2001
34,771236,FEMALE,JD,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,NY,Arlington,5224 5th Lane,14,1,?,2,36720,4080,4080,28560,Honda,Accord,2009
29,235869,FEMALE,PhD,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,SC,Riverwood,2230 1st St,1,1,?,1,52800,4800,9600,38400,Mercedes,ML350,1996
37,931625,FEMALE,Associate,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Arlington,6719 Flute St,14,3,NO,1,59100,5910,5910,47280,Nissan,Maxima,1998
37,371635,MALE,Associate,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,8064 4th Ave,17,3,?,1,77440,14080,7040,56320,Suburu,Legacy,1999
36,427199,MALE,Masters,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,2469 Francis Lane,20,3,NO,2,45700,4570,4570,36560,BMW,3 Series,2008
41,261315,FEMALE,PhD,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Springfield,4671 5th Ridge,10,3,NO,2,80740,7340,14680,58720,Toyota,Camry,2014
26,582973,MALE,MD,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,SC,Northbrook,6985 Maple Lane,3,3,?,0,31350,2850,5700,22800,Honda,Accord,2001
33,278091,FEMALE,Associate,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,SC,Hillsdale,7791 Britain Ridge,0,1,?,0,35000,3500,7000,24500,Suburu,Legacy,2012
59,153154,MALE,PhD,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,6355 4th Hwy,10,3,?,2,68000,13600,6800,47600,Toyota,Corolla,2014
30,515217,FEMALE,Masters,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,3495 Britain Drive,13,3,YES,2,84500,13000,13000,58500,BMW,X6,2009
42,860497,FEMALE,MD,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Northbend,2980 Sky Ridge,14,1,NO,2,75500,7550,15100,52850,Nissan,Ultima,1998
46,351741,MALE,High School,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,WV,Riverwood,5914 Oak Ave,22,3,NO,1,90600,15100,15100,60400,BMW,X5,2009
45,403737,FEMALE,Associate,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,VA,Northbend,3835 5th Ave,8,3,YES,1,64320,5360,10720,48240,Accura,MDX,1998
33,162004,FEMALE,High School,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Northbend,5925 Tree Hwy,1,3,?,1,31700,6340,3170,22190,Toyota,Highlander,2006
30,740384,MALE,Associate,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,6250 1st Ridge,19,1,YES,0,74280,12380,12380,49520,Suburu,Forrestor,2006
37,876714,FEMALE,High School,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,NY,Columbus,1346 5th Lane,17,1,YES,0,80520,13420,6710,60390,Toyota,Corolla,2005
30,951543,MALE,JD,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,1128 Maple Lane,13,3,YES,0,63600,6360,12720,44520,Dodge,RAM,2010
44,576723,MALE,High School,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,6309 Cherokee Ave,4,1,?,1,32800,3280,3280,26240,BMW,3 Series,2012
50,391003,FEMALE,Masters,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,PA,Northbend,4618 Flute Ave,14,3,NO,0,44190,9820,4910,29460,Audi,A3,2015
26,225865,MALE,College,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Springfield,6191 Oak Lane,4,2,YES,2,50400,10080,5040,35280,Honda,CRV,2000
55,984948,MALE,JD,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,1316 Britain Ridge,23,3,YES,1,88400,17680,8840,61880,Nissan,Pathfinder,2010
49,890328,FEMALE,High School,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,NY,Hillsdale,5924 Maple Drive,21,3,YES,0,66550,12100,6050,48400,Volkswagen,Jetta,2003
47,803294,MALE,PhD,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,8917 Tree Ridge,23,3,YES,0,65780,5980,11960,47840,Chevrolet,Tahoe,2014
40,414913,MALE,MD,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,NY,Columbus,3966 Francis Ridge,6,3,?,0,51810,9420,4710,37680,Audi,A3,2002
31,414519,MALE,PhD,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,1507 Solo Ave,21,1,NO,1,55660,5060,10120,40480,Honda,CRV,2009
28,818413,MALE,Masters,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,4272 Oak Ridge,23,1,?,2,44640,9920,4960,29760,Toyota,Camry,2005
46,487356,FEMALE,PhD,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,NY,Riverwood,4434 Lincoln Ave,3,3,?,1,77660,7060,14120,56480,Nissan,Maxima,2004
25,159768,FEMALE,JD,2015-02-16,Parked Car,?,Trivial Damage,SC,Northbend,7529 Solo Ridge,8,1,NO,2,5640,940,940,3760,Nissan,Ultima,2005
26,865839,FEMALE,MD,2015-02-04,Parked Car,?,Trivial Damage,VA,Arlington,8096 Apache Hwy,4,1,?,2,3190,580,580,2030,Suburu,Legacy,1995
30,406567,MALE,College,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,NC,Arlington,9417 Tree Hwy,22,1,?,0,53440,0,6680,46760,Ford,Escape,2004
31,623032,FEMALE,JD,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Hillsdale,3809 Texas Lane,16,1,NO,0,65250,7250,7250,50750,BMW,3 Series,2002
39,935442,MALE,College,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Columbus,1540 Apache Lane,14,3,NO,2,44280,4920,4920,34440,Chevrolet,Silverado,2008
37,106873,MALE,Associate,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,NY,Springfield,2337 Lincoln Hwy,13,1,YES,2,70290,7810,7810,54670,Dodge,RAM,1999
30,563878,FEMALE,Associate,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,NY,Hillsdale,6770 1st St,20,1,?,1,87100,8710,8710,69680,Saab,92x,2000
35,620855,MALE,MD,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,NY,Columbus,4119 Texas St,0,3,?,1,50380,4580,4580,41220,Suburu,Forrestor,1996
45,583169,FEMALE,JD,2015-03-01,Multi-vehicle Collision,Side Collision,Total Loss,VA,Arlington,4347 2nd Ridge,23,3,YES,2,64800,12960,6480,45360,Audi,A3,2014
42,337677,FEMALE,Associate,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,1091 1st Drive,13,1,YES,1,70400,12800,12800,44800,BMW,3 Series,2000
26,445973,MALE,College,2015-02-02,Single Vehicle Collision,Rear Collision,Major Damage,NY,Northbend,8203 Lincoln Ave,8,1,?,2,57860,0,10520,47340,Suburu,Impreza,2008
47,156694,MALE,Masters,2015-01-31,Vehicle Theft,?,Minor Damage,WV,Northbend,9154 MLK Hwy,3,1,?,0,6240,960,960,4320,Ford,Fusion,2011
38,421940,FEMALE,Associate,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,5780 4th Ave,16,1,?,2,66600,16650,11100,38850,Jeep,Grand Cherokee,2012
28,613226,MALE,PhD,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,6945 Texas Hwy,19,1,YES,0,70920,11820,11820,47280,Jeep,Wrangler,2002
56,804410,MALE,Associate,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Springfield,5639 1st Ridge,0,1,YES,2,39480,6580,6580,26320,Suburu,Forrestor,2002
43,553565,FEMALE,PhD,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,VA,Arlington,3834 Pine St,12,1,?,2,63240,10540,5270,47430,Mercedes,E400,2005
34,399524,MALE,JD,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,1358 Maple St,21,3,YES,1,67650,12300,6150,49200,Audi,A5,2009
39,331595,FEMALE,MD,2015-02-17,Single Vehicle Collision,Front Collision,Major Damage,SC,Riverwood,7460 Apache Lane,0,1,?,1,74200,14840,14840,44520,Accura,TL,2002
43,380067,FEMALE,JD,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,VA,Columbus,5771 Sky Ave,22,1,YES,1,64900,12980,12980,38940,Volkswagen,Jetta,2011
44,701521,FEMALE,Associate,2015-02-03,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Northbend,2865 Maple Lane,20,3,?,1,35900,7180,3590,25130,Audi,A3,2007
26,360770,FEMALE,High School,2015-02-03,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,8940 Elm Ave,0,1,NO,1,52200,5220,10440,36540,Honda,CRV,2011
57,958785,MALE,Masters,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,SC,Hillsdale,1215 Pine Hwy,20,1,?,0,78000,6500,13000,58500,Suburu,Forrestor,2000
27,797934,FEMALE,High School,2015-02-06,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,6874 Maple Ridge,1,3,YES,0,67200,6720,6720,53760,Volkswagen,Passat,1995
43,883980,FEMALE,MD,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,WV,Hillsdale,8834 Elm Drive,11,1,NO,0,63250,11500,5750,46000,Nissan,Ultima,1997
37,340614,FEMALE,MD,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,WV,Columbus,8542 Lincoln Ridge,14,3,YES,1,68760,11460,5730,51570,Ford,Fusion,1995
28,435784,MALE,College,2015-01-07,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Springfield,9397 Francis St,20,3,YES,0,65040,10840,10840,43360,Suburu,Impreza,2010
33,563837,MALE,College,2015-01-20,Single Vehicle Collision,Side Collision,Major Damage,SC,Springfield,4907 Andromedia Drive,22,1,?,1,82800,20700,13800,48300,Jeep,Grand Cherokee,2004
44,200827,MALE,PhD,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,SC,Columbus,4429 Washington St,12,1,NO,1,61700,6170,6170,49360,Saab,93,2005
61,533941,FEMALE,Associate,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Columbus,2651 MLK Lane,3,3,YES,2,78100,15620,7810,54670,Chevrolet,Tahoe,1997
24,265026,FEMALE,College,2015-01-12,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbend,2942 1st Lane,15,3,YES,2,65520,9360,9360,46800,Toyota,Highlander,2011
30,354481,MALE,MD,2015-02-28,Parked Car,?,Trivial Damage,VA,Arlington,6317 Best St,8,1,YES,0,4500,450,450,3600,Saab,93,1999
41,566720,FEMALE,Associate,2015-01-08,Multi-vehicle Collision,Side Collision,Major Damage,WV,Northbend,1555 Washington Lane,13,3,NO,0,42700,0,6100,36600,Mercedes,ML350,2011
46,832746,FEMALE,High School,2015-01-25,Parked Car,?,Minor Damage,SC,Hillsdale,1919 4th Lane,8,1,NO,2,5580,620,620,4340,Volkswagen,Passat,2005
31,386690,FEMALE,Masters,2015-02-26,Parked Car,?,Minor Damage,NC,Arlington,5480 3rd Ridge,7,1,?,0,3600,360,720,2520,BMW,X5,2013
36,979285,FEMALE,Masters,2015-02-03,Vehicle Theft,?,Trivial Damage,SC,Northbrook,8864 Tree Ridge,9,1,?,2,2800,280,280,2240,Volkswagen,Passat,2015
47,594722,FEMALE,Associate,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,VA,Northbend,2777 Solo Drive,15,1,NO,1,54000,6000,6000,42000,Toyota,Highlander,1996
19,216738,FEMALE,JD,2015-02-01,Single Vehicle Collision,Side Collision,Minor Damage,NC,Northbend,9929 Rock Drive,5,1,?,0,48950,4450,8900,35600,Accura,TL,2011
47,369048,MALE,PhD,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,WV,Northbend,4143 Maple Ridge,15,4,YES,0,77800,15560,15560,46680,Dodge,RAM,2002
57,514424,MALE,High School,2015-01-30,Multi-vehicle Collision,Front Collision,Major Damage,NC,Columbus,7121 Rock St,22,3,YES,2,52560,11680,5840,35040,Saab,93,1995
41,954191,FEMALE,PhD,2015-01-31,Multi-vehicle Collision,Side Collision,Total Loss,VA,Riverwood,9067 Texas Ave,16,2,?,1,44110,4010,8020,32080,Honda,Accord,2015
30,150181,FEMALE,PhD,2015-01-13,Single Vehicle Collision,Front Collision,Total Loss,SC,Hillsdale,9245 Weaver Ridge,7,1,NO,1,74360,13520,6760,54080,Suburu,Forrestor,2009
31,388671,FEMALE,JD,2015-02-16,Parked Car,?,Minor Damage,WV,Arlington,4585 Francis Ave,2,1,YES,1,6120,680,680,4760,Honda,Civic,2002
53,457244,MALE,College,2015-02-04,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,6738 Francis Hwy,17,4,?,0,62280,5190,10380,46710,Suburu,Forrestor,2012
44,206667,FEMALE,Masters,2015-02-07,Multi-vehicle Collision,Front Collision,Total Loss,NY,Springfield,7576 Pine Ridge,12,3,?,1,26730,4860,4860,17010,Volkswagen,Jetta,2006
29,745200,FEMALE,Associate,2015-01-16,Single Vehicle Collision,Rear Collision,Major Damage,WV,Arlington,9105 Tree Lane,9,1,?,1,66200,6620,6620,52960,Dodge,Neon,2013
26,412703,MALE,JD,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,VA,Northbrook,2299 Britain Drive,16,1,?,1,45500,9100,4550,31850,Toyota,Corolla,2009
41,736771,MALE,JD,2015-02-08,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Springfield,1914 Francis St,19,3,?,2,53040,4420,4420,44200,Audi,A3,2006
32,347984,MALE,College,2015-01-02,Multi-vehicle Collision,Front Collision,Major Damage,VA,Columbus,6658 Weaver St,14,3,?,1,50800,10160,5080,35560,Mercedes,E400,2013
41,626074,FEMALE,Associate,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,SC,Northbend,1985 5th Ave,18,3,?,1,44200,4420,4420,35360,Audi,A5,2014
34,218109,FEMALE,PhD,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,1707 Sky Ave,23,1,YES,1,62920,11440,5720,45760,Chevrolet,Malibu,2012
29,999435,MALE,PhD,2015-01-05,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Springfield,6456 Andromedia Drive,15,3,?,0,49950,5550,5550,38850,Nissan,Ultima,2004
46,858060,MALE,JD,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,NC,Arlington,5649 Texas Ave,18,1,YES,0,56430,6270,6270,43890,BMW,3 Series,1995
41,500384,FEMALE,Masters,2015-01-04,Single Vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,1220 MLK Ave,16,1,NO,2,100210,18220,18220,63770,Audi,A5,2014
30,903785,MALE,High School,2015-02-02,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Northbend,1589 Pine St,12,3,NO,1,49140,5460,5460,38220,Ford,F150,2007
38,873859,FEMALE,College,2015-02-23,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,8906 Elm Lane,16,1,NO,0,66840,16710,5570,44560,Mercedes,E400,2014
21,204294,MALE,Associate,2015-02-10,Single Vehicle Collision,Front Collision,Total Loss,NY,Hillsdale,2654 Elm Drive,21,1,?,1,62460,6940,6940,48580,Honda,Accord,2003
36,467106,MALE,JD,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,NY,Columbus,6681 Texas Ridge,15,3,YES,0,62810,11420,11420,39970,Nissan,Ultima,1999
33,357713,FEMALE,JD,2015-01-04,Single Vehicle Collision,Front Collision,Major Damage,WV,Northbrook,7782 Rock St,21,1,YES,1,54160,6770,6770,40620,Suburu,Legacy,2009
35,890026,FEMALE,JD,2015-01-30,Single Vehicle Collision,Rear Collision,Major Damage,WV,Arlington,9286 Oak Ave,1,1,YES,0,48400,9680,4840,33880,Saab,92x,2005
48,751612,MALE,PhD,2015-01-25,Multi-vehicle Collision,Side Collision,Total Loss,NY,Arlington,8758 5th St,17,3,?,0,51480,5720,5720,40040,Toyota,Highlander,2013
36,876680,FEMALE,High School,2015-01-22,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Columbus,7281 Maple Hwy,5,3,NO,2,51700,5170,10340,36190,Saab,95,2003
58,756981,MALE,MD,2015-01-01,Multi-vehicle Collision,Front Collision,Total Loss,WV,Northbend,7571 Elm Ridge,15,3,?,1,65520,10920,5460,49140,Volkswagen,Jetta,2009
31,121439,MALE,High School,2015-02-14,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,6738 Washington Hwy,2,4,NO,2,47700,4770,9540,33390,Accura,TL,2011
31,411289,FEMALE,PhD,2015-01-15,Vehicle Theft,?,Minor Damage,SC,Northbend,4188 Britain Ave,3,1,YES,2,5220,580,580,4060,Accura,MDX,2015
57,538466,MALE,High School,2015-01-06,Single Vehicle Collision,Side Collision,Major Damage,NY,Riverwood,6934 Lincoln Ave,19,1,NO,1,73320,6110,12220,54990,Ford,Fusion,2012
46,932097,MALE,Masters,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,VA,Hillsdale,6390 Apache St,17,1,YES,0,74900,14980,7490,52430,Jeep,Grand Cherokee,2003
27,463727,FEMALE,High School,2015-02-17,Vehicle Theft,?,Trivial Damage,WV,Columbus,7615 Weaver Drive,7,1,?,0,3190,580,290,2320,Saab,95,2015
33,552618,MALE,MD,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,6409 Cherokee Drive,21,1,NO,1,76920,12820,6410,57690,Chevrolet,Malibu,2002
53,936638,FEMALE,Masters,2015-02-09,Multi-vehicle Collision,Front Collision,Total Loss,WV,Springfield,1123 5th Lane,10,2,YES,1,77990,7090,14180,56720,Jeep,Wrangler,2012
46,348814,MALE,MD,2015-02-12,Single Vehicle Collision,Front Collision,Total Loss,NY,Columbus,5168 5th Ave,11,1,YES,1,59670,9180,9180,41310,Ford,Escape,2008
33,944102,FEMALE,College,2015-02-24,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Columbus,3697 Apache Drive,23,3,YES,2,44880,8160,4080,32640,Mercedes,C300,2004
51,689901,MALE,Associate,2015-02-02,Single Vehicle Collision,Side Collision,Minor Damage,NC,Northbend,1910 Sky Ave,14,1,?,0,82830,7530,15060,60240,Audi,A5,2004
60,901083,FEMALE,College,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,SC,Riverwood,8954 Apache Lane,10,1,NO,1,84480,7680,15360,61440,Chevrolet,Silverado,2012
30,396224,FEMALE,College,2015-02-15,Multi-vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,3110 Lincoln Lane,6,3,?,2,79800,15960,7980,55860,Honda,Civic,1999
41,682178,MALE,MD,2015-02-28,Multi-vehicle Collision,Rear Collision,Minor Damage,WV,Arlington,6035 Rock Ave,10,3,?,0,53020,9640,9640,33740,Toyota,Corolla,1999
45,596298,FEMALE,High School,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,VA,Hillsdale,2220 1st Lane,5,3,?,0,24200,2200,4400,17600,Suburu,Forrestor,2008
40,253005,MALE,Masters,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,OH,Riverwood,4972 Francis Lane,17,1,?,1,43230,7860,7860,27510,Chevrolet,Silverado,2001
45,985924,FEMALE,College,2015-01-19,Vehicle Theft,?,Trivial Damage,NC,Springfield,6957 Weaver Drive,3,1,NO,2,3190,290,580,2320,Ford,Escape,1995
43,631565,FEMALE,Associate,2015-01-17,Parked Car,?,Minor Damage,WV,Northbrook,1512 Rock Lane,9,1,?,0,5850,1300,650,3900,BMW,M5,2006
29,630998,FEMALE,High School,2015-02-12,Parked Car,?,Trivial Damage,SC,Arlington,3693 Pine Ave,6,1,YES,2,6820,620,1240,4960,BMW,3 Series,2005
44,926665,FEMALE,College,2015-02-11,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,9879 Apache Drive,22,3,NO,2,69480,11580,11580,46320,Chevrolet,Tahoe,2008
29,302669,MALE,Masters,2015-02-21,Multi-vehicle Collision,Front Collision,Major Damage,PA,Northbend,2494 Andromedia Drive,10,3,?,1,94560,7880,15760,70920,Jeep,Grand Cherokee,1995
39,620020,MALE,Associate,2015-01-02,Vehicle Theft,?,Minor Damage,NC,Riverwood,4615 Embaracadero Ave,4,1,YES,1,7800,780,780,6240,Dodge,RAM,1997
32,439828,FEMALE,High School,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbrook,1929 Britain Drive,23,1,NO,1,61270,5570,11140,44560,Suburu,Legacy,1999
49,971295,FEMALE,Masters,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,NY,Riverwood,5051 Elm St,19,1,?,0,71440,8930,8930,53580,Mercedes,ML350,2005
37,165565,FEMALE,JD,2015-01-28,Single Vehicle Collision,Rear Collision,Total Loss,NY,Hillsdale,9910 Maple Ave,22,1,YES,1,55600,11120,5560,38920,Jeep,Grand Cherokee,2009
44,936543,MALE,High School,2015-02-01,Vehicle Theft,?,Trivial Damage,NC,Riverwood,5602 Britain St,6,1,NO,1,5000,1000,500,3500,Jeep,Wrangler,2005
33,296960,FEMALE,JD,2015-02-24,Single Vehicle Collision,Side Collision,Minor Damage,NY,Springfield,6889 Cherokee St,6,1,NO,2,95810,14740,14740,66330,BMW,X5,2007
41,501692,FEMALE,College,2015-01-20,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbend,3926 Rock Lane,18,1,NO,2,69300,6930,13860,48510,Volkswagen,Jetta,1996
37,525224,MALE,MD,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,SC,Northbend,6717 Best Drive,22,1,?,1,81120,13520,20280,47320,Toyota,Camry,1995
21,355085,MALE,High School,2015-02-05,Single Vehicle Collision,Front Collision,Major Damage,WV,Columbus,6117 4th Ave,21,1,?,0,91260,14040,14040,63180,Toyota,Corolla,2012
48,830729,FEMALE,MD,2015-01-11,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,2668 Cherokee St,12,1,?,0,60600,6060,12120,42420,Ford,Fusion,2004
31,651948,MALE,Masters,2015-01-02,Multi-vehicle Collision,Front Collision,Major Damage,NY,Arlington,6838 Flute Lane,6,3,?,0,64800,6480,12960,45360,Suburu,Forrestor,2000
34,424358,FEMALE,College,2015-02-12,Multi-vehicle Collision,Side Collision,Major Damage,WV,Northbrook,6583 MLK Ridge,0,4,?,0,66880,6080,12160,48640,Chevrolet,Silverado,1996
35,131478,MALE,Masters,2015-01-03,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,6492 4th Lane,11,1,NO,0,58200,5820,5820,46560,BMW,X5,2013
31,268833,FEMALE,High School,2015-02-25,Single Vehicle Collision,Side Collision,Minor Damage,NC,Hillsdale,7299 Apache St,19,1,?,1,60570,6730,6730,47110,Nissan,Maxima,2011
36,287489,FEMALE,Masters,2015-01-19,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Springfield,2756 Britain Hwy,22,3,?,0,69680,8710,8710,52260,Mercedes,ML350,2008
58,808153,MALE,Masters,2015-01-03,Single Vehicle Collision,Front Collision,Total Loss,NY,Columbus,9360 3rd Drive,2,1,YES,2,55700,5570,11140,38990,Nissan,Maxima,2014
47,687639,FEMALE,JD,2015-02-12,Multi-vehicle Collision,Front Collision,Total Loss,OH,Arlington,1655 Francis Hwy,16,4,YES,1,62370,5670,5670,51030,Dodge,Neon,2001
45,497347,FEMALE,PhD,2015-02-24,Multi-vehicle Collision,Side Collision,Total Loss,VA,Columbus,9720 Lincoln Hwy,23,3,?,0,54340,9880,0,44460,Saab,92x,2005
48,439660,FEMALE,Masters,2015-02-25,Single Vehicle Collision,Front Collision,Major Damage,NC,Northbend,7066 Texas Ave,21,1,YES,1,55170,6130,6130,42910,Audi,A5,2005
34,847123,MALE,College,2015-02-17,Single Vehicle Collision,Front Collision,Minor Damage,NY,Columbus,9728 Britain Hwy,10,1,?,2,58500,11700,5850,40950,Dodge,RAM,1999
32,172307,MALE,Associate,2015-02-09,Single Vehicle Collision,Rear Collision,Major Damage,NC,Riverwood,4486 Cherokee Ridge,12,1,?,0,59940,6660,6660,46620,Honda,CRV,1995
28,810189,MALE,MD,2015-02-15,Single Vehicle Collision,Side Collision,Total Loss,PA,Northbend,8021 Flute Ave,6,1,NO,1,73400,7340,7340,58720,Dodge,Neon,1996
23,432068,MALE,JD,2015-02-25,Single Vehicle Collision,Side Collision,Major Damage,PA,Riverwood,2774 Apache Drive,6,1,?,1,41850,4650,4650,32550,Suburu,Legacy,1997
44,903203,FEMALE,PhD,2015-02-05,Parked Car,?,Trivial Damage,NC,Hillsdale,2787 MLK St,7,1,?,2,6400,640,1280,4480,Mercedes,ML350,2005
